movie_name,categories,movie_rate,description,country,release_date,duration,movie_link
Will & Harper,"Documentary, Comedy",7.4,"When Will Ferrell's good friend Harper comes out as a trans woman, they take a road trip to bond and reintroduce Harper to the country as her true self.",USA,2024,114,https://goku.sx/movie/watch-will-harper-114712
Rez Ball,Drama,6.2,"After losing their star player, a high school basketball team rich in Native American heritage must bounce back to keep their championship dreams alive.",USA,2024,113,https://goku.sx/movie/watch-rez-ball-114706
Apartment 7A,"Horror, Thriller",5.8,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",USA,2024,104,https://goku.sx/movie/watch-apartment-7a-114697
Killer Heat,"Crime, Drama, Thriller, Romance",5.6,"An expat PI is hired to investigate a suspicious death in Crete, Greece, where jealousies run deep amongst the victim's powerful family.",USA,2024,97,https://goku.sx/movie/watch-killer-heat-114658
Wolfs,"Action, Crime, Comedy, Thriller",6.5,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances–and their egos–to finish the job.",USA,2024,108,https://goku.sx/movie/watch-wolfs-114661
Between the Temples,"Comedy, Drama",6.8,A cantor in a crisis of faith finds his world turned upside down when his grade school music teacher reenters his life as his new adult bat mitzvah student.,USA,2024,111,https://goku.sx/movie/watch-between-the-temples-113329
The Front Room,Horror,5.2,"Everything goes to hell for newly-pregnant Belinda after her mother-in-law moves in. As the diabolical guest tries to get her claws on the child, Belinda must draw the line somewhere.","UK, USA",2024,95,https://goku.sx/movie/watch-the-front-room-113857
Kill 'em All 2,"Action, Crime",3.8,"Phillip and Suzanne are retired from the spy game, living peacefully off the grid. That's until their whereabout are discovered by Vlad the vengeful brother of their target from the first film.","Italy, USA",2024,85,https://goku.sx/movie/watch-kill-em-all-2-114490
This Time Next Year,"Romance, Comedy",5.7,"Minnie and Quinn were both born in London on New Year’s Day, in the same hospital, one minute apart. Thirty years later — and very different people — they find themselves thrown together again in the same city on New Year’s Eve.",UK,2024,116,https://goku.sx/movie/watch-this-time-next-year-114439
The Thicket,"Crime, Thriller, Western",6.2,"An innocent young man, Jack, goes on an epic quest to rescue his sister Lula after she has been kidnapped by the violent killer Cut Throat Bill and her gang. To save her, Jack enlists the help of a crafty bounty hunter named Reginald Jones, a grave-digging alcoholic son of an ex-slave, and a street-smart prostitute. The gang tracks Cut Throat Bill into the deadly no-man’s land known as The Big Thicket — a place where blood and chaos reign.","Canada, USA",2024,108,https://goku.sx/movie/watch-the-thicket-113917
Last Straw,"Drama, Horror, Thriller",5.3,"A rural roadside diner becomes the host of a maniacal killing spree – leaving a young waitress to clean up the mess. After hard-headed Nancy fires the staff at her dad’s diner, she decides to cover the last shift of the night by herself. Little does she know, she is far from alone. The day is coming back to haunt her and when things begin to spiral out of control, she must fight for her life over the course of one long night.",USA,2024,81,https://goku.sx/movie/watch-last-straw-114358
Omni Loop,"Comedy, Drama, Science Fiction",5.5,"Diagnosed with a black hole growing inside her chest and stuck in a loop reliving the last five days of her life, a 55-year-old wife and mother from Miami, Florida decides to solve time travel in order to go back and be the person she always intended to be.",USA,2024,107,https://goku.sx/movie/watch-omni-loop-114355
Strangers,"Thriller, Action",4.2,"Seeking revenge on her abusive husband, a woman's life takes a dark turn when she meets a mysterious hitman. Drawn into a whirlwind romance, she spirals into a dangerous vigilante spree. As the body count rises, she begins to unravel the true nature of her partner and the secrets they both conceal.",USA,2024,106,https://goku.sx/movie/watch-strangers-114196
Slingshot,"Science Fiction, Thriller",5.7,"An astronaut struggles to maintain his grip on reality aboard a possibly fatally compromised mission to Saturn's moon, Titan.","Hungary, USA",2024,109,https://goku.sx/movie/watch-slingshot-114193
You Gotta Believe,"Family, Drama",5.9,"After dedicating the season to a teammate’s ailing father, a group of underestimated Ft. Worth youth baseball players takes its Cinderella run all the way to the 2002 Little League World Series—culminating in a record-breaking showdown that became an instant ESPN classic.",USA,2024,104,https://goku.sx/movie/watch-you-gotta-believe-113647
Blink Twice,"Thriller, Mystery, Horror",7.0,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something terrifying hiding beneath the island’s lush facade.",USA,2024,103,https://goku.sx/movie/watch-blink-twice-113077
Afraid,"Horror, Science Fiction, Thriller",5.1,Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,USA,2024,84,https://goku.sx/movie/watch-afraid-113644
Cuckoo,"Horror, Mystery, Science Fiction",6.4,"After reluctantly moving to the German Alps with her father and his new family, Gretchen discovers that their new town hides sinister secrets, as she's plagued by strange noises and frightening visions of a woman pursuing her.","Germany, USA",2024,103,https://goku.sx/movie/watch-cuckoo-112582
1992,"Crime, Thriller",6.4,"In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide.",USA,2024,96,https://goku.sx/movie/watch-1992-113545
Uglies,"Science Fiction, Drama, Adventure",5.0,"In a futuristic dystopia with enforced beauty standards, a teen awaiting mandatory cosmetic surgery embarks on a journey to find her missing friend.",USA,2024,100,https://goku.sx/movie/watch-uglies-114022
Subservience,"Science Fiction, Thriller, Horror",4.6,"With his wife out sick, a struggling father brings home a lifelike AI—only to have his self-aware new help want everything her new family has to offer, like the affection of her owner. And she'll kill to get it.",USA,2024,95,https://goku.sx/movie/watch-subservience-113482
Will & Harper,"Documentary, Comedy",7.4,"When Will Ferrell's good friend Harper comes out as a trans woman, they take a road trip to bond and reintroduce Harper to the country as her true self.",USA,2024,114,https://goku.sx/movie/watch-will-harper-114712
Rez Ball,Drama,6.2,"After losing their star player, a high school basketball team rich in Native American heritage must bounce back to keep their championship dreams alive.",USA,2024,113,https://goku.sx/movie/watch-rez-ball-114706
Apartment 7A,"Horror, Thriller",5.8,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",USA,2024,104,https://goku.sx/movie/watch-apartment-7a-114697
Killer Heat,"Crime, Drama, Thriller, Romance",5.6,"An expat PI is hired to investigate a suspicious death in Crete, Greece, where jealousies run deep amongst the victim's powerful family.",USA,2024,97,https://goku.sx/movie/watch-killer-heat-114658
Wolfs,"Action, Crime, Comedy, Thriller",6.5,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances–and their egos–to finish the job.",USA,2024,108,https://goku.sx/movie/watch-wolfs-114661
Between the Temples,"Comedy, Drama",6.8,A cantor in a crisis of faith finds his world turned upside down when his grade school music teacher reenters his life as his new adult bat mitzvah student.,USA,2024,111,https://goku.sx/movie/watch-between-the-temples-113329
The Front Room,Horror,5.2,"Everything goes to hell for newly-pregnant Belinda after her mother-in-law moves in. As the diabolical guest tries to get her claws on the child, Belinda must draw the line somewhere.","UK, USA",2024,95,https://goku.sx/movie/watch-the-front-room-113857
Kill 'em All 2,"Action, Crime",3.8,"Phillip and Suzanne are retired from the spy game, living peacefully off the grid. That's until their whereabout are discovered by Vlad the vengeful brother of their target from the first film.","Italy, USA",2024,85,https://goku.sx/movie/watch-kill-em-all-2-114490
This Time Next Year,"Romance, Comedy",5.7,"Minnie and Quinn were both born in London on New Year’s Day, in the same hospital, one minute apart. Thirty years later — and very different people — they find themselves thrown together again in the same city on New Year’s Eve.",UK,2024,116,https://goku.sx/movie/watch-this-time-next-year-114439
The Thicket,"Crime, Thriller, Western",6.2,"An innocent young man, Jack, goes on an epic quest to rescue his sister Lula after she has been kidnapped by the violent killer Cut Throat Bill and her gang. To save her, Jack enlists the help of a crafty bounty hunter named Reginald Jones, a grave-digging alcoholic son of an ex-slave, and a street-smart prostitute. The gang tracks Cut Throat Bill into the deadly no-man’s land known as The Big Thicket — a place where blood and chaos reign.","Canada, USA",2024,108,https://goku.sx/movie/watch-the-thicket-113917
Last Straw,"Drama, Horror, Thriller",5.3,"A rural roadside diner becomes the host of a maniacal killing spree – leaving a young waitress to clean up the mess. After hard-headed Nancy fires the staff at her dad’s diner, she decides to cover the last shift of the night by herself. Little does she know, she is far from alone. The day is coming back to haunt her and when things begin to spiral out of control, she must fight for her life over the course of one long night.",USA,2024,81,https://goku.sx/movie/watch-last-straw-114358
